dataset	subject	total_runs	avg_runs_per_session	avg_session_duration_h	total_duration_h	total_volumes	avg_volumes_per_session
floc	sub-01	12	2.0	0.1283	0.7698	1860.0	310.0
floc	sub-02	12	2.0	0.1283	0.7698	1860.0	310.0
floc	sub-03	12	2.0	0.1291	0.7748	1872.0	312.0
floc	sub-04	0					
floc	sub-05	0					
floc	sub-06	0					
friends	sub-01	292	4.63	0.8806	48.4353	117025.0	2127.7
friends	sub-02	292	5.21	1.0147	52.763	127481.0	2451.6
friends	sub-03	291	3.73	0.7391	49.5222	119651.0	1785.8
friends	sub-04	198	4.71	0.8996	26.9889	65208.0	2173.6
friends	sub-05	289	6.57	1.2328	51.7763	125097.0	2978.5
friends	sub-06	293	5.53	1.0732	56.8791	137426.0	2592.9
gamepad	sub-01	10	2.0	0.1714	0.8568	2070.0	414.0
gamepad	sub-02	8	2.0	0.1714	0.6854	1656.0	414.0
gamepad	sub-03	8	2.0	0.1714	0.6854	1656.0	414.0
gamepad	sub-04	0					
gamepad	sub-05	0					
gamepad	sub-06	8	2.0	0.1714	0.6854	1656.0	414.0
mario3	sub-01	69	2.88	0.4272	10.2533	24773.0	1032.2
mario3	sub-02	74	3.89	0.5468	10.3899	25103.0	1321.2
mario3	sub-03	73	3.84	0.5469	10.3915	25107.0	1321.4
mario3	sub-04	0					
mario3	sub-05	65	6.5	0.9788	9.7885	23650.0	2365.0
mario3	sub-06	56	3.11	0.4722	8.4992	20535.0	1140.8
retinotopy	sub-01	18	3.0	0.2508	1.5049	3636.0	606.0
retinotopy	sub-02	18	3.0	0.2508	1.5049	3636.0	606.0
retinotopy	sub-03	15	3.0	0.2508	1.2541	3030.0	606.0
retinotopy	sub-04	0					
retinotopy	sub-05	16	2.67	0.2229	1.3377	3232.0	538.7
retinotopy	sub-06	0					
all	sub-01	401	2.9	0.3717	61.8201	149364.0	898.0
all	sub-02	404	3.22	0.4224	66.113	159736.0	1020.6
all	sub-03	399	2.91	0.3675	62.628	151316.0	887.8
all	sub-04	198	4.71	0.8996	26.9889	65208.0	2173.6
all	sub-05	370	5.25	0.8115	62.9025	151979.0	1960.7
all	sub-06	357	3.55	0.5723	66.0637	159617.0	1382.6
